TNF IL2 IFNG CD28 B3GAT1 TIGIT HAVCR2 LAG3 PDCD1 EOMES CTLA4 ENTPD1 TOX CD244
TNF 1 0 0.227848101265823 0.0909090909090909 0.0638297872340425 0.151898734177215 0.117647058823529 0.208860759493671 0.024390243902439 0.0738255033557047 0 0.0256410256410256 0.0631578947368421 0.0952380952380952
IL2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
IFNG 0.227848101265823 0 1 0.181818181818182 0.127659574468085 0.235494880546075 0.235294117647059 0.276056338028169 0.317073170731707 0.181208053691275 0.5 0.230769230769231 0.357894736842105 0.222222222222222
CD28 0.0909090909090909 0 0.181818181818182 1 0 0.0909090909090909 0 0.181818181818182 0.0909090909090909 0.0909090909090909 0 0.0909090909090909 0 0
B3GAT1 0.0638297872340425 0 0.127659574468085 0 1 0.297872340425532 0.0212765957446809 0.297872340425532 0.024390243902439 0.0851063829787234 0 0.0256410256410256 0.0212765957446809 0.0425531914893617
TIGIT 0.151898734177215 0 0.235494880546075 0.0909090909090909 0.297872340425532 1 0.196078431372549 0.25938566552901 0.0731707317073171 0.275167785234899 0 0.282051282051282 0.252631578947368 0.26984126984127
HAVCR2 0.117647058823529 0 0.235294117647059 0 0.0212765957446809 0.196078431372549 1 0.137254901960784 0 0.0784313725490196 0 0.102564102564103 0.0588235294117647 0.0196078431372549
LAG3 0.208860759493671 0 0.276056338028169 0.181818181818182 0.297872340425532 0.25938566552901 0.137254901960784 1 0.24390243902439 0.288590604026846 0.5 0.128205128205128 0.231578947368421 0.222222222222222
PDCD1 0.024390243902439 0 0.317073170731707 0.0909090909090909 0.024390243902439 0.0731707317073171 0 0.24390243902439 1 0.121951219512195 0 0.0256410256410256 0.0487804878048781 0.0487804878048781
EOMES 0.0738255033557047 0 0.181208053691275 0.0909090909090909 0.0851063829787234 0.275167785234899 0.0784313725490196 0.288590604026846 0.121951219512195 1 0 0.179487179487179 0.157894736842105 0.206349206349206
CTLA4 0 0 0.5 0 0 0 0 0.5 0 0 1 0 0 0
ENTPD1 0.0256410256410256 0 0.230769230769231 0.0909090909090909 0.0256410256410256 0.282051282051282 0.102564102564103 0.128205128205128 0.0256410256410256 0.179487179487179 0 1 0.230769230769231 0
TOX 0.0631578947368421 0 0.357894736842105 0 0.0212765957446809 0.252631578947368 0.0588235294117647 0.231578947368421 0.0487804878048781 0.157894736842105 0 0.230769230769231 1 0.0476190476190476
CD244 0.0952380952380952 0 0.222222222222222 0 0.0425531914893617 0.26984126984127 0.0196078431372549 0.222222222222222 0.0487804878048781 0.206349206349206 0 0 0.0476190476190476 1
