TNF IL2 IFNG CD28 B3GAT1 TIGIT HAVCR2 LAG3 PDCD1 EOMES CTLA4 ENTPD1 TOX CD244
TNF 1 1 0.224137931034483 0.111111111111111 0.24 0.146853146853147 0 0.1625 0.238095238095238 0.13953488372093 0.307692307692308 0.0666666666666667 0.158730158730159 0.195121951219512
IL2 1 1 0 0 0 0 0 0 0 0 0 0 0 0
IFNG 0.224137931034483 0 1 0.126984126984127 0.28 0.160839160839161 0.166666666666667 0.24375 0.238095238095238 0.13953488372093 0.230769230769231 0.2 0.253968253968254 0.280487804878049
CD28 0.111111111111111 0 0.126984126984127 1 0.04 0.142857142857143 0 0.126984126984127 0 0.0952380952380952 0.307692307692308 0.133333333333333 0.0158730158730159 0.0952380952380952
B3GAT1 0.24 0 0.28 0.04 1 0.12 0 0.16 0 0.08 0 0 0 0.16
TIGIT 0.146853146853147 0 0.160839160839161 0.142857142857143 0.12 1 0.166666666666667 0.132867132867133 0.238095238095238 0.151162790697674 0.153846153846154 0.266666666666667 0.158730158730159 0.146341463414634
HAVCR2 0 0 0.166666666666667 0 0 0.166666666666667 1 0.166666666666667 0.166666666666667 0 0.166666666666667 0 0 0.333333333333333
LAG3 0.1625 0 0.24375 0.126984126984127 0.16 0.132867132867133 0.166666666666667 1 0.19047619047619 0.127906976744186 0.0769230769230769 0.2 0.222222222222222 0.158536585365854
PDCD1 0.238095238095238 0 0.238095238095238 0 0 0.238095238095238 0.166666666666667 0.19047619047619 1 0.19047619047619 0.153846153846154 0.0666666666666667 0.0952380952380952 0.0476190476190476
EOMES 0.13953488372093 0 0.13953488372093 0.0952380952380952 0.08 0.151162790697674 0 0.127906976744186 0.19047619047619 1 0 0.0666666666666667 0.0634920634920635 0.0609756097560976
CTLA4 0.307692307692308 0 0.230769230769231 0.307692307692308 0 0.153846153846154 0.166666666666667 0.0769230769230769 0.153846153846154 0 1 0 0 0.0769230769230769
ENTPD1 0.0666666666666667 0 0.2 0.133333333333333 0 0.266666666666667 0 0.2 0.0666666666666667 0.0666666666666667 0 1 0.133333333333333 0.133333333333333
TOX 0.158730158730159 0 0.253968253968254 0.0158730158730159 0 0.158730158730159 0 0.222222222222222 0.0952380952380952 0.0634920634920635 0 0.133333333333333 1 0.111111111111111
CD244 0.195121951219512 0 0.280487804878049 0.0952380952380952 0.16 0.146341463414634 0.333333333333333 0.158536585365854 0.0476190476190476 0.0609756097560976 0.0769230769230769 0.133333333333333 0.111111111111111 1
