cells_id	x	gene_ENSG00000228849	gene_ENSG00000109471	gene_ENSG00000111537	gene_ENSG00000178562	gene_ENSG00000109956	gene_ENSG00000181847	gene_ENSG00000135077	gene_ENSG00000089692	gene_ENSG00000276977	gene_ENSG00000163508	gene_ENSG00000163599	gene_ENSG00000138185	gene_ENSG00000198846	gene_ENSG00000122223
cell_1	dysfunctional	0	0	0	0	0	0	0	2.5316370809944218	2.5316370809944218	0	0	0	0	0
cell_2	dysfunctional	0	0	0	0	0	2.9790095282931244	0	1.97723927763111	0	0	3.253899335586932	0	0	2.5986482495081575
cell_3	dysfunctional	0	0	0	0	0	2.156335381961427	2.156335381961427	2.7898660317560195	2.7898660317560195	2.156335381961427	0	0	0	3.1746421092227624
cell_4	dysfunctional	0	0	0	0	0	0	2.636924242787441	2.0129122811476368	0	3.686639593412191	0	0	2.636924242787441	0
cell_5	dysfunctional	0	0	0	0	0	1.3400629448071146	0	1.8928962480213016	0	2.2468452648501653	0	0	0	1.3400629448071146
cell_6	dysfunctional	0	0	0	0	0	0	0	2.118095862962761	2.7492291180190387	0	0	0	0	0
cell_7	dysfunctional	0	0	0	0	0	0	0	2.161078157421274	2.161078157421274	0	0	0	0	0
cell_8	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_9	dysfunctional	0	0	0	0	0	2.0316821582006424	0	0	2.0316821582006424	2.0316821582006424	0	0	0	0
cell_10	dysfunctional	0	0	0	1.6084786030632254	0	3.366137927865237	2.5638423803182695	2.8320846492247957	2.1961586212059716	2.8320846492247957	0	0	0	1.6084786030632254
cell_11	dysfunctional	0	0	0	0	0	0	0	2.0162909458171128	0	0	0	0	0	0
cell_12	dysfunctional	0	0	0	0	0	2.6044275469224	0	0	0	0	0	0	0	1.9826195747416908
cell_13	dysfunctional	0	0	0	0	0	0	2.263143855957823	0	0	0	0	0	0	0
cell_14	dysfunctional	0	0	0	0	0	3.6224691154303397	0	2.9556879061722783	0	0	0	0	0	0
cell_15	dysfunctional	2.8294565892270063	0	2.8294565892270063	2.8294565892270063	0	0	0	3.7096776016516175	0	3.2150437908000287	0	0	0	0
cell_16	dysfunctional	0	0	0	0	0	1.9634270728463012	0	3.1105306595306663	1.4016383765550908	1.4016383765550908	0	0	1.9634270728463012	0
cell_17	dysfunctional	0	0	0	0	0	2.2994411425040777	0	0	2.2994411425040777	0	0	0	0	0
cell_18	dysfunctional	0	0	0	0	0	2.2670116995150567	2.2670116995150567	2.9069577829535476	0	2.2670116995150567	0	0	0	0
cell_19	dysfunctional	0	0	0	0	0	0	0	0	0	3.120975076836399	0	0	0	0
cell_20	dysfunctional	1.901325253343746	0	0	1.901325253343746	0	2.895043188649942	0	1.901325253343746	0	0	0	0	2.5168510863477893	0
cell_21	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_22	dysfunctional	0	0	0	0	0	4.0942953968050455	0	0	0	0	0	0	0	0
cell_23	dysfunctional	0	0	0	0	0	0	0	3.128253330633891	2.1136038550844507	1.5345010221949873	0	0	0	0
cell_24	dysfunctional	0	0	0	0	0	2.740372406427786	0	2.740372406427786	3.0117862903251518	1.7631744278321624	0	0	3.22504035989753	0
cell_25	dysfunctional	0	0	3.1472386712918565	0	0	2.496164496840844	0	0	0	2.496164496840844	0	0	0	0
cell_26	dysfunctional	0	0	0	0	0	2.5686496392043927	0	0	0	0	0	0	0	0
cell_27	dysfunctional	0	0	1.94522474806892	0	0	2.9436814033726324	0	2.5642112138590973	0	2.5642112138590973	0	0	0	0
cell_28	dysfunctional	0	0	0	0	0	0	0	3.0210195932686403	0	3.0210195932686403	0	0	0	0
cell_29	dysfunctional	0	0	0	0	0	0	0	4.092685245654314	2.0208191679528924	0	0	0	2.0208191679528924	0
cell_30	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	0	2.694161088941543	0
