TNF IL2 IFNG CD28 B3GAT1 TIGIT HAVCR2 LAG3 PDCD1 EOMES CTLA4 ENTPD1 TOX CD244
TNF 1 0.4 0.333333333333333 0.1 0.0263157894736842 0.405555555555556 0.155555555555556 0.444444444444444 0.205555555555556 0.25 0.177777777777778 0.15 0.183333333333333 0.0388888888888889
IL2 0.4 1 0.2 0 0 0.2 0.4 0 0 0 0.4 0 0.2 0
IFNG 0.333333333333333 0.2 1 0.260504201680672 0.245614035087719 0.481515711645102 0.288615713522181 0.600277264325323 0.287792207792208 0.293900184842884 0.344405594405594 0.304034582132565 0.265319014529375 0.253731343283582
CD28 0.1 0 0.260504201680672 1 0.0614035087719298 0.508403361344538 0.226890756302521 0.621848739495798 0.275210084033613 0.334033613445378 0.191176470588235 0.189075630252101 0.23109243697479 0.0696517412935323
B3GAT1 0.0263157894736842 0 0.245614035087719 0.0614035087719298 1 0.421052631578947 0.184210526315789 0.517543859649123 0.271929824561404 0.236842105263158 0.105263157894737 0.131578947368421 0.149122807017544 0.043859649122807
TIGIT 0.405555555555556 0.2 0.481515711645102 0.508403361344538 0.421052631578947 1 0.503474078033137 0.572270630445925 0.486753246753247 0.480646533390047 0.550699300699301 0.495677233429395 0.504106127605812 0.420398009950249
HAVCR2 0.155555555555556 0.4 0.288615713522181 0.226890756302521 0.184210526315789 0.503474078033137 1 0.623730625334046 0.266167824692678 0.278995189738108 0.284965034965035 0.273054755043228 0.232469993682881 0.22636815920398
LAG3 0.444444444444444 0 0.600277264325323 0.621848739495798 0.517543859649123 0.572270630445925 0.623730625334046 1 0.634805194805195 0.570820927264994 0.630244755244755 0.62536023054755 0.56538218572331 0.564676616915423
PDCD1 0.205555555555556 0 0.287792207792208 0.275210084033613 0.271929824561404 0.486753246753247 0.266167824692678 0.634805194805195 1 0.304935064935065 0.305944055944056 0.270893371757925 0.257738471257107 0.241293532338308
EOMES 0.25 0 0.293900184842884 0.334033613445378 0.236842105263158 0.480646533390047 0.278995189738108 0.570820927264994 0.304935064935065 1 0.277972027972028 0.289625360230548 0.326595072646873 0.345771144278607
CTLA4 0.177777777777778 0.4 0.344405594405594 0.191176470588235 0.105263157894737 0.550699300699301 0.284965034965035 0.630244755244755 0.305944055944056 0.277972027972028 1 0.208916083916084 0.20979020979021 0.116915422885572
ENTPD1 0.15 0 0.304034582132565 0.189075630252101 0.131578947368421 0.495677233429395 0.273054755043228 0.62536023054755 0.270893371757925 0.289625360230548 0.208916083916084 1 0.20028818443804 0.176616915422886
TOX 0.183333333333333 0.2 0.265319014529375 0.23109243697479 0.149122807017544 0.504106127605812 0.232469993682881 0.56538218572331 0.257738471257107 0.326595072646873 0.20979020979021 0.20028818443804 1 0.17910447761194
CD244 0.0388888888888889 0 0.253731343283582 0.0696517412935323 0.043859649122807 0.420398009950249 0.22636815920398 0.564676616915423 0.241293532338308 0.345771144278607 0.116915422885572 0.176616915422886 0.17910447761194 1
