TNF IL2 IFNG CD28 B3GAT1 TIGIT HAVCR2 LAG3 PDCD1 EOMES CTLA4 ENTPD1 TOX CD244
TNF 1 0.105263157894737 0.0636363636363636 0.0545454545454545 0.0833333333333333 0.145454545454545 0.0545454545454545 0.145454545454545 0.0636363636363636 0.0363636363636364 0.118181818181818 0.0363636363636364 0.0454545454545455 0.0476190476190476
IL2 0.105263157894737 1 0.0526315789473684 0.105263157894737 0 0 0.105263157894737 0.105263157894737 0 0.0526315789473684 0 0.0526315789473684 0.157894736842105 0
IFNG 0.0636363636363636 0.0526315789473684 1 0.117647058823529 0 0.111764705882353 0.0823529411764706 0.170588235294118 0.0823529411764706 0.1 0.0823529411764706 0.0333333333333333 0.0941176470588235 0.0952380952380952
CD28 0.0545454545454545 0.105263157894737 0.117647058823529 1 0.0833333333333333 0.119480519480519 0.0880829015544041 0.101298701298701 0.109634551495017 0.0842911877394636 0.101503759398496 0.1 0.0775510204081633 0.0238095238095238
B3GAT1 0.0833333333333333 0 0 0.0833333333333333 1 0.208333333333333 0.0833333333333333 0.0833333333333333 0.0833333333333333 0.0416666666666667 0.0833333333333333 0 0.0833333333333333 0
TIGIT 0.145454545454545 0 0.111764705882353 0.119480519480519 0.208333333333333 1 0.217616580310881 0.141560798548094 0.212624584717608 0.134099616858238 0.176691729323308 0.233333333333333 0.163265306122449 0.0952380952380952
HAVCR2 0.0545454545454545 0.105263157894737 0.0823529411764706 0.0880829015544041 0.0833333333333333 0.217616580310881 1 0.27979274611399 0.170984455958549 0.0829015544041451 0.150259067357513 0.0666666666666667 0.113989637305699 0.0714285714285714
LAG3 0.145454545454545 0.105263157894737 0.170588235294118 0.101298701298701 0.0833333333333333 0.141560798548094 0.27979274611399 1 0.192691029900332 0.172413793103448 0.240601503759398 0.216666666666667 0.191836734693878 0.166666666666667
PDCD1 0.0636363636363636 0 0.0823529411764706 0.109634551495017 0.0833333333333333 0.212624584717608 0.170984455958549 0.192691029900332 1 0.10727969348659 0.139097744360902 0.1 0.0938775510204082 0.0952380952380952
EOMES 0.0363636363636364 0.0526315789473684 0.1 0.0842911877394636 0.0416666666666667 0.134099616858238 0.0829015544041451 0.172413793103448 0.10727969348659 1 0.0689655172413793 0.05 0.0816326530612245 0.0476190476190476
CTLA4 0.118181818181818 0 0.0823529411764706 0.101503759398496 0.0833333333333333 0.176691729323308 0.150259067357513 0.240601503759398 0.139097744360902 0.0689655172413793 1 0.1 0.0571428571428571 0.0714285714285714
ENTPD1 0.0363636363636364 0.0526315789473684 0.0333333333333333 0.1 0 0.233333333333333 0.0666666666666667 0.216666666666667 0.1 0.05 0.1 1 0.075 0.0238095238095238
TOX 0.0454545454545455 0.157894736842105 0.0941176470588235 0.0775510204081633 0.0833333333333333 0.163265306122449 0.113989637305699 0.191836734693878 0.0938775510204082 0.0816326530612245 0.0571428571428571 0.075 1 0.119047619047619
CD244 0.0476190476190476 0 0.0952380952380952 0.0238095238095238 0 0.0952380952380952 0.0714285714285714 0.166666666666667 0.0952380952380952 0.0476190476190476 0.0714285714285714 0.0238095238095238 0.119047619047619 1
