TNF IL2 IFNG CD28 B3GAT1 TIGIT HAVCR2 LAG3 PDCD1 EOMES CTLA4 ENTPD1 TOX CD244
TNF 1 0 0.131147540983607 0.0491803278688525 0.0303030303030303 0.229508196721311 0.0163934426229508 0.311475409836066 0.180327868852459 0.19672131147541 0.0163934426229508 0.0327868852459016 0.0983606557377049 0.0327868852459016
IL2 0 1 0 0.166666666666667 0 0.666666666666667 0.333333333333333 0.333333333333333 0 0.166666666666667 0 0 0 0
IFNG 0.131147540983607 0 1 0.0680628272251309 0.0606060606060606 0.264623955431755 0.15041782729805 0.364902506963788 0.178272980501393 0.250696378830084 0.170542635658915 0.165829145728643 0.15 0.131034482758621
CD28 0.0491803278688525 0.166666666666667 0.0680628272251309 1 0.0303030303030303 0.287958115183246 0.120418848167539 0.240837696335079 0.12565445026178 0.18848167539267 0.0471204188481675 0.06282722513089 0.0785340314136126 0.0137931034482759
B3GAT1 0.0303030303030303 0 0.0606060606060606 0.0303030303030303 1 0.242424242424242 0.0606060606060606 0.272727272727273 0.0909090909090909 0.212121212121212 0.0909090909090909 0 0.0303030303030303 0
TIGIT 0.229508196721311 0.666666666666667 0.264623955431755 0.287958115183246 0.242424242424242 1 0.303614457831325 0.323372465314835 0.3 0.264099037138927 0.294573643410853 0.306532663316583 0.291176470588235 0.2
HAVCR2 0.0163934426229508 0.333333333333333 0.15041782729805 0.120418848167539 0.0606060606060606 0.303614457831325 1 0.412048192771084 0.190361445783133 0.2 0.193798449612403 0.190954773869347 0.173529411764706 0.124137931034483
LAG3 0.311475409836066 0.333333333333333 0.364902506963788 0.240837696335079 0.272727272727273 0.323372465314835 0.412048192771084 1 0.375555555555556 0.276478679504814 0.356589147286822 0.296482412060302 0.332352941176471 0.317241379310345
PDCD1 0.180327868852459 0 0.178272980501393 0.12565445026178 0.0909090909090909 0.3 0.190361445783133 0.375555555555556 1 0.235555555555556 0.170542635658915 0.135678391959799 0.173529411764706 0.16551724137931
EOMES 0.19672131147541 0.166666666666667 0.250696378830084 0.18848167539267 0.212121212121212 0.264099037138927 0.2 0.276478679504814 0.235555555555556 1 0.186046511627907 0.195979899497487 0.208823529411765 0.220689655172414
CTLA4 0.0163934426229508 0 0.170542635658915 0.0471204188481675 0.0909090909090909 0.294573643410853 0.193798449612403 0.356589147286822 0.170542635658915 0.186046511627907 1 0.085427135678392 0.124031007751938 0.0896551724137931
ENTPD1 0.0327868852459016 0 0.165829145728643 0.06282722513089 0 0.306532663316583 0.190954773869347 0.296482412060302 0.135678391959799 0.195979899497487 0.085427135678392 1 0.105527638190955 0.0620689655172414
TOX 0.0983606557377049 0 0.15 0.0785340314136126 0.0303030303030303 0.291176470588235 0.173529411764706 0.332352941176471 0.173529411764706 0.208823529411765 0.124031007751938 0.105527638190955 1 0.124137931034483
CD244 0.0327868852459016 0 0.131034482758621 0.0137931034482759 0 0.2 0.124137931034483 0.317241379310345 0.16551724137931 0.220689655172414 0.0896551724137931 0.0620689655172414 0.124137931034483 1
